" 0-60","0", , , , , , , , , , , , , , , , , 
" 0-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","MUAC","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","0", , , , , , , , , , , , , , , , , 
" 3-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","Triceps ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","0", , , , , , , , , , , , , , , , , 
" 3-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","Subscapular ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","0", , , , , , , , , , , , , , , , , 
" 3-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","Set 2:","Males","","","","","","","","","","","","","","","",""
"","Head ","circumference","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","0", , , , , , , , , , , , , , , , , 
" 0-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","MUAC","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","0", , , , , , , , , , , , , , , , , 
" 3-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","Triceps ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","0", , , , , , , , , , , , , , , , , 
" 3-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","Subscapular ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","0", , , , , , , , , , , , , , , , , 
" 3-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","Set 3:","Females","","","","","","","","","","","","","","","",""
"","Head ","circumference","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","0", , , , , , , , , , , , , , , , , 
" 0-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","MUAC","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","0", , , , , , , , , , , , , , , , , 
" 3-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","Triceps ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","0", , , , , , , , , , , , , , , , , 
" 3-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","Subscapular ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","0", , , , , , , , , , , , , , , , , 
" 3-5","0", , , , , , , , , , , , , , , , , 
" 6-11","0", , , , , , , , , , , , , , , , , 
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
